UF;ANO;Mês;1º Decêndio;2º Decêndio;3º Decêndio;Item transferência;Transferência;
MS;2020;01;3177571.47;1647177.3;0;IPI-EXP;IPI-Exp;
MS;2020;01;4096494.12;1779980.4;0;FPM;FUNDEB;
MS;2020;01;315789.55;163697.78;0;IPI-EXP;FUNDEB;
MS;2020;01;0;0;0;COUN;FUNDEB;
MS;2020;01;0;0;0;LC 87;FUNDEB;
MS;2020;01;1854562.44;0;0;ITR;FUNDEB;
MS;2020;01;829466.65;6081755.99;0;IPVA;FUNDEB;
MS;2020;01;186232.55;893732.65;0;ITCMD;FUNDEB;
MS;2020;01;9179495.23;27413555.5;0;ICMS;FUNDEB;
MS;2020;01;3552175.14;1543466.9;0;FPE;FUNDEB;
MS;2020;01;0;318071.2;0;CFM;Royalties;
MS;2020;01;0;127376.97;0;ITA;Royalties;
MT;2020;01;5158519.28;0;0;CIDE/Combustível;CIDE-Combustíveis;
MT;2020;01;0;0;0;ICMS/LC 87/96 - Lei Kandir;LC 87/96 (Lei Kandir);
MT;2020;01;122524.7;60464.89;0;IOF Ouro;IOF-Ouro;
MT;2020;01;61930519.33;26909625.18;0;FPE;FPE;
MT;2020;01;0;0;0;FPE;FUNDEF;
MT;2020;01;0;0;0;ICMS;FUNDEF;
MT;2020;01;0;0;0;FPM;FUNDEF;
MT;2020;01;0;0;0;IPI-EXP;FUNDEF;
MT;2020;01;0;0;0;COUN;FUNDEF;
MT;2020;01;0;0;0;LC 87;FUNDEF;
MT;2020;01;2456450.15;1273365.18;0;IPI-EXP;IPI-Exp;
MT;2020;01;6494454.95;2821925.62;0;FPM;FUNDEB;
MT;2020;01;312269.34;161872.97;0;IPI-EXP;FUNDEB;
MT;2020;01;0;0;0;COUN;FUNDEB;
MT;2020;01;0;0;0;LC 87;FUNDEB;
MT;2020;01;1252262.29;0;0;ITR;FUNDEB;
MT;2020;01;1185537.53;2268959.57;0;IPVA;FUNDEB;
MT;2020;01;185790.99;23076.95;0;ITCMD;FUNDEB;
MT;2020;01;17477970.37;48236920.61;0;ICMS;FUNDEB;
MT;2020;01;7872743.57;3420810.62;0;FPE;FUNDEB;
MT;2020;01;0;696340.19;0;CFM;Royalties;
PA;2020;01;5058133.34;0;0;CIDE/Combustível;CIDE-Combustíveis;
PA;2020;01;0;0;0;ICMS/LC 87/96 - Lei Kandir;LC 87/96 (Lei Kandir);
PA;2020;01;144486.75;75719.8;0;IOF Ouro;IOF-Ouro;
PA;2020;01;164010283.87;71264625.44;0;FPE;FPE;
PA;2020;01;0;0;0;FPE;FUNDEF;
PA;2020;01;0;0;0;ICMS;FUNDEF;
PA;2020;01;0;0;0;FPM;FUNDEF;
PA;2020;01;0;0;0;IPI-EXP;FUNDEF;
PA;2020;01;0;0;0;COUN;FUNDEF;
PA;2020;01;0;0;0;LC 87;FUNDEF;
PA;2020;01;10800946.3;5598952.97;0;IPI-EXP;IPI-Exp;
PA;2020;01;7011824.6;3046729.69;0;FPM;FUNDEB;
PA;2020;01;768106.98;398168.35;0;IPI-EXP;FUNDEB;
PA;2020;01;0;0;0;COUN;FUNDEB;
PA;2020;01;0;0;0;LC 87;FUNDEB;
PA;2020;01;49327.78;0;0;ITR;FUNDEB;
PA;2020;01;285270.68;263649.81;0;IPVA;FUNDEB;
PA;2020;01;57804.53;65042.7;0;ITCMD;FUNDEB;
PA;2020;01;5435631.36;3028108.46;0;ICMS;FUNDEB;
PA;2020;01;11663555.77;5067968.4;0;FPE;FUNDEB;
PA;2020;01;0;27878675.91;0;CFM;Royalties;
PB;2020;01;3088306.36;0;0;CIDE/Combustível;CIDE-Combustíveis;
PB;2020;01;0;0;0;ICMS/LC 87/96 - Lei Kandir;LC 87/96 (Lei Kandir);
PB;2020;01;0;0;0;IOF Ouro;IOF-Ouro;
PB;2020;01;128506028.87;55837559.68;0;FPE;FPE;
PB;2020;01;0;0;0;FPE;FUNDEF;
PB;2020;01;0;0;0;ICMS;FUNDEF;
PB;2020;01;0;0;0;FPM;FUNDEF;
PB;2020;01;0;0;0;IPI-EXP;FUNDEF;
PB;2020;01;0;0;0;COUN;FUNDEF;
PB;2020;01;0;0;0;LC 87;FUNDEF;
PB;2020;01;124267.52;64417.33;0;IPI-EXP;IPI-Exp;
PB;2020;01;7153117.29;3108122.84;0;FPM;FUNDEB;
PB;2020;01;10077.91;5224.17;0;IPI-EXP;FUNDEB;
PB;2020;01;0;0;0;COUN;FUNDEB;
PB;2020;01;0;0;0;LC 87;FUNDEB;
PB;2020;01;3749.58;0;0;ITR;FUNDEB;
PB;2020;01;205282.47;625944.58;0;IPVA;FUNDEB;
PB;2020;01;16346.02;64839.42;0;ITCMD;FUNDEB;
PB;2020;01;1385842.57;1558632.17;0;ICMS;FUNDEB;
PB;2020;01;10421621.4;4528331.63;0;FPE;FUNDEB;
PB;2020;01;0;90387.43;0;CFM;Royalties;
PE;2020;01;5511714.08;0;0;CIDE/Combustível;CIDE-Combustíveis;
PE;2020;01;0;0;0;ICMS/LC 87/96 - Lei Kandir;LC 87/96 (Lei Kandir);
PE;2020;01;0;0;0;IOF Ouro;IOF-Ouro;
