Municipio;CodIBGE;UF;pop;ind1;nota1;ind2;nota2;ind3;nota3;classifica_CAPAG
Prefeitura Municipal de Cariri do Tocantins - TO;1703867;TO;4238;0,0222 ;A;0,8923 ;A;0,3229 ;A;A
Prefeitura Municipal de Funilândia - MG;3127206;MG;4237;0,0261 ;A;0,9663 ;C;-50,6934 ;C;C
Prefeitura Municipal de Ponto Chique - MG;3152131;MG;4236;;;1,0230 ;C;;;
Prefeitura Municipal de Gramado Xavier - RS;4309159;RS;4232;;;0,8342 ;A;0,2217 ;A;
Prefeitura Municipal de Recursolândia - TO;1718501;TO;4230;0,0233 ;A;92,2928 ;C;;;
Prefeitura Municipal de São José do Alegre - MG;3163201;MG;4228;;;0,9883 ;C;0,1139 ;A;
Prefeitura Municipal de Sebastião Leal - PI;2210631;PI;4217;;;2,9146 ;C;;;
Prefeitura Municipal de Novo Acordo - TO;1715101;TO;4213;0,1687 ;A;0,9962 ;C;;;
Prefeitura Municipal de Barra do Quaraí - RS;4301875;RS;4212;0,0309 ;A;0,9327 ;B;1,7701 ;C;C
Prefeitura Municipal de Piratuba - SC;4213104;SC;4209;;;0,9347 ;B;0,0482 ;A;
Prefeitura Municipal de Caiabu - SP;3508900;SP;4208;0,3129 ;A;0,9637 ;C;;;
Prefeitura Municipal de Piedade de Ponte Nova - MG;3150208;MG;4208;0,0516 ;A;0,9551 ;C;0,7779 ;A;C
Prefeitura Municipal de Ibiquera - BA;2912608;BA;4207;0,2340 ;A;0,9666 ;C;2,7824 ;C;C
Prefeitura Municipal de São Francisco do Oeste - RN;2411908;RN;4206;0,2594 ;A;0,9078 ;B;0,2067 ;A;B
Prefeitura Municipal de Ilópolis - RS;4310306;RS;4205;;;0,8374 ;A;0,0915 ;A;
Prefeitura Municipal de Bom Jesus da Penha - MG;3107604;MG;4203;0,0532 ;A;0,9354 ;B;;;
Prefeitura Municipal de Dom Macedo Costa - BA;2910206;BA;4201;0,1860 ;A;0,9317 ;B;0,2894 ;A;B
Prefeitura Municipal de Alvarenga - MG;3102209;MG;4199;0,0293 ;A;0,9893 ;C;0,6306 ;A;C
Prefeitura Municipal de Paim Filho - RS;4313607;RS;4196;0,0136 ;A;0,9131 ;B;23,7171 ;C;C
Prefeitura Municipal de Conceição do Tocantins - TO;1705607;TO;4194;0,1909 ;A;0,9786 ;C;-1,4868 ;C;C
Prefeitura Municipal de Nova Santa Bárbara - PR;4117214;PR;4190;0,0464 ;A;0,9101 ;B;0,0030 ;A;B
Prefeitura Municipal de Monte Castelo - SP;3531605;SP;4189;;;0,9039 ;B;;;
Prefeitura Municipal de Venha-Ver - RN;2414753;RN;4187;0,1280 ;A;0,9497 ;B;5,8591 ;C;C
Prefeitura Municipal de São José do Barreiro - SP;3549607;SP;4183;0,1332 ;A;0,8798 ;A;0,0337 ;A;A
Prefeitura Municipal de Novo Barreiro - RS;4313490;RS;4181;0,3114 ;A;0,8279 ;A;2,9257 ;C;C
Prefeitura Municipal de Modelo - SC;4210902;SC;4181;0,0118 ;A;0,9421 ;B;0,1822 ;A;B
Prefeitura Municipal de Guarani de Goiás - GO;5209408;GO;4174;0,2034 ;A;;;;;
