Municipio;CodIBGE;UF;pop;ind1;nota1;ind2;nota2;ind3;nota3;classifica_CAPAG
Prefeitura Municipal de Canhotinho - PE;2603702;PE;24799;0,0854 ;A;0,8872 ;A;5,2354 ;C;C
Prefeitura Municipal de Pirajuí - SP;3538907;SP;24762;0,0942 ;A;0,9560 ;C;0,6421 ;A;C
Prefeitura Municipal de Pedra Azul - MG;3148707;MG;24748;0,1100 ;A;1,0031 ;C;3,7211 ;C;C
Prefeitura Municipal de Pedro do Rosário - MA;2108256;MA;24748;0,0658 ;A;0,8979 ;A;1,3645 ;C;C
Prefeitura Municipal de Aparecida do Taboado - MS;5001003;MS;24745;0,0542 ;A;0,9013 ;B;1,2059 ;C;C
Prefeitura Municipal de Ibiapina - CE;2305308;CE;24739;0,0948 ;A;0,9098 ;B;;;
Prefeitura Municipal de Álvares Machado - SP;3501301;SP;24733;0,0665 ;A;1,0055 ;C;;;
Prefeitura Municipal de Candeias do Jamari - RO;1100809;RO;24719;0,2993 ;A;0,9611 ;C;0,5877 ;A;C
Prefeitura Municipal de Novo Aripuanã - AM;1303304;AM;24718;0,0418 ;A;0,9095 ;B;149,7500 ;C;C
Prefeitura Municipal de Maravilha - SC;4210506;SC;24712;0,0904 ;A;0,9308 ;B;0,1969 ;A;B
Prefeitura Municipal de Itaporanga - PB;2507002;PB;24674;0,6383 ;B;0,9838 ;C;3,5916 ;C;C
Prefeitura Municipal de São Domingos do Araguaia - PA;1507151;PA;24659;;;0,9656 ;C;9,2471 ;C;
Prefeitura Municipal de Três Passos - RS;4321907;RS;24632;0,0339 ;A;0,8547 ;A;0,0933 ;A;A
Prefeitura Municipal de Jucás - CE;2307403;CE;24540;0,1090 ;A;0,9799 ;C;0,7640 ;A;C
Prefeitura Municipal de Bom Jesus - PI;2201903;PI;24532;0,1046 ;A;0,9581 ;C;1,0237 ;C;C
Prefeitura Municipal de Igaraçu do Tietê - SP;3520004;SP;24525;0,0646 ;A;0,9272 ;B;0,7724 ;A;B
Prefeitura Municipal de Buritis - MG;3109303;MG;24524;0,1437 ;A;0,9855 ;C;0,1538 ;A;C
Prefeitura Municipal de Itabaiana - PB;2506905;PB;24519;1,0431 ;B;;;0,0233 ;A;
Prefeitura Municipal de Três de Maio - RS;4321808;RS;24497;0,0659 ;A;0,8858 ;A;0,2574 ;A;A
Prefeitura Municipal de Aurora - CE;2301703;CE;24496;0,5243 ;A;0,9344 ;B;0,0667 ;A;B
Prefeitura Municipal de Soure - PA;1507904;PA;24488;0,0582 ;A;0,9872 ;C;0,5862 ;A;C
Prefeitura Municipal de Agrestina - PE;2600302;PE;24454;0,3628 ;A;0,9699 ;C;10,2198 ;C;C
Prefeitura Municipal de São Sepé - RS;4319604;RS;24418;;;0,8978 ;A;0,2534 ;A;
Prefeitura Municipal de Corinto - MG;3119104;MG;24407;0,1306 ;A;0,9953 ;C;0,3357 ;A;C
Prefeitura Municipal de Craíbas - AL;2702355;AL;24403;0,5116 ;A;0,9229 ;B;;;
Prefeitura Municipal de Angatuba - SP;3502200;SP;24400;0,0781 ;A;0,9738 ;C;0,2733 ;A;C
Prefeitura Municipal de São Geraldo do Araguaia - PA;1507458;PA;24394;;;;;18,4737 ;C;
Prefeitura Municipal de Vila Rica - MT;5108600;MT;24392;0,0011 ;A;0,9171 ;B;0,4104 ;A;B
Prefeitura Municipal de Conde - PB;2504603;PB;24380;0,9888 ;B;0,8728 ;A;0,0820 ;A;B
Prefeitura Municipal de Raul Soares - MG;3154002;MG;24368;0,0648 ;A;0,9377 ;B;;;
Prefeitura Municipal de Ituporanga - SC;4208500;SC;24343;0,1376 ;A;0,9881 ;C;1,8126 ;C;C
Prefeitura Municipal de Brasiléia - AC;1200104;AC;24311;0,1975 ;A;0,9074 ;B;0,3430 ;A;B
Prefeitura Municipal de Paraopeba - MG;3147402;MG;24273;0,0520 ;A;0,9631 ;C;0,4788 ;A;C
Prefeitura Municipal de Goiás - GO;5208905;GO;24269;0,5581 ;A;0,9495 ;B;;;
Prefeitura Municipal de Ecoporanga - ES;3202108;ES;24243;0,0328 ;A;1,0972 ;C;0,0484 ;A;C
Prefeitura Municipal de Ibirapitanga - BA;2912707;BA;24238;1,1028 ;B;0,9101 ;B;;;
Prefeitura Municipal de Bela Vista - MS;5002100;MS;24223;0,5556 ;A;0,9703 ;C;0,7024 ;A;C
Prefeitura Municipal de Santo Antônio - RN;2411502;RN;24220;0,3022 ;A;0,9763 ;C;;;
Prefeitura Municipal de Venda Nova do Imigrante - ES;3205069;ES;24165;0,0760 ;A;1,0529 ;C;0,0013 ;A;C
Prefeitura Municipal de São José da Laje - AL;2708303;AL;24140;0,2127 ;A;0,9426 ;B;;;
Prefeitura Municipal de Monte Aprazível - SP;3531407;SP;24128;0,1787 ;A;;;0,9868 ;A;
Prefeitura Municipal de Laje - BA;2918803;BA;24112;0,3786 ;A;0,9837 ;C;0,8383 ;A;C
Prefeitura Municipal de Rio Tinto - PB;2512903;PB;24090;0,5833 ;A;0,9763 ;C;0,1845 ;A;C
Prefeitura Municipal de Pinheiral - RJ;3303955;RJ;24076;0,1108 ;A;0,8914 ;A;2,8764 ;C;C
Prefeitura Municipal de Santa Maria do Pará - PA;1506609;PA;24059;0,4577 ;A;0,9004 ;B;;;
Prefeitura Municipal de São Miguel do Guaporé - RO;1100320;RO;24059;0,0215 ;A;0,8237 ;A;0,0502 ;A;A
Prefeitura Municipal de Água Boa - MT;5100201;MT;24032;0,0378 ;A;0,9267 ;B;0,0221 ;A;B
Prefeitura Municipal de Capivari de Baixo - SC;4203956;SC;23982;0,0996 ;A;;;0,1563 ;A;
Prefeitura Municipal de Coração de Maria - BA;2908903;BA;23961;0,5527 ;A;0,9489 ;B;13,0073 ;C;C
Prefeitura Municipal de Bambuí - MG;3105103;MG;23936;0,0844 ;A;0,9615 ;C;0,1248 ;A;C
Prefeitura Municipal de Cupira - PE;2605004;PE;23909;1,1208 ;B;0,9849 ;C;5,8149 ;C;C
Prefeitura Municipal de Belmonte - BA;2903409;BA;23891;1,1380 ;B;0,9472 ;B;0,2557 ;A;B
Prefeitura Municipal de Santa Teresa - ES;3204609;ES;23882;0,0191 ;A;0,9286 ;B;0,2026 ;A;B
Prefeitura Municipal de Carolina - MA;2102804;MA;23833;0,0322 ;A;1,0610 ;C;;;
Prefeitura Municipal de Cruz - CE;2304251;CE;23833;0,2728 ;A;0,8690 ;A;1,4302 ;C;C
Prefeitura Municipal de Colorado - PR;4105904;PR;23811;0,0339 ;A;0,9745 ;C;0,0090 ;A;C
Prefeitura Municipal de Forquilha - CE;2304350;CE;23801;0,4114 ;A;0,9621 ;C;;;
Prefeitura Municipal de Caraí - MG;3113008;MG;23781;0,2066 ;A;0,9727 ;C;3,5490 ;C;C
Prefeitura Municipal de Brodowski - SP;3507803;SP;23780;0,6720 ;B;0,9305 ;B;1,4654 ;C;C
Prefeitura Municipal de Ibicaraí - BA;2912103;BA;23770;1,1884 ;B;0,9019 ;B;;;
Prefeitura Municipal de Orobó - PE;2609709;PE;23717;0,4086 ;A;0,9539 ;C;3,1856 ;C;C
Prefeitura Municipal de Irauçuba - CE;2306108;CE;23704;0,3801 ;A;0,8586 ;A;4,2231 ;C;C
Prefeitura Municipal de Caculé - BA;2905008;BA;23685;0,4161 ;A;0,9921 ;C;2,5301 ;C;C
Prefeitura Municipal de Sobradinho - BA;2930774;BA;23650;0,2399 ;A;0,9078 ;B;0,1177 ;A;B
Prefeitura Municipal de São Jerônimo - RS;4318408;RS;23649;0,0276 ;A;0,9019 ;B;0,1390 ;A;B
Prefeitura Municipal de Brotas - SP;3507902;SP;23641;0,0010 ;A;0,9469 ;B;;;
Prefeitura Municipal de Itambacuri - MG;3132701;MG;23637;0,2706 ;A;1,0604 ;C;;;
Prefeitura Municipal de Bom Jesus de Goiás - GO;5203500;GO;23632;0,1263 ;A;0,9241 ;B;8,7380 ;C;C
Prefeitura Municipal de São João do Paraíso - MG;3162708;MG;23630;0,6237 ;B;1,0066 ;C;3,6109 ;C;C
Prefeitura Municipal de Tupanciretã - RS;4322202;RS;23615;0,0275 ;A;0,8470 ;A;-0,8803 ;C;C
Prefeitura Municipal de Medeiros Neto - BA;2921104;BA;23586;0,8696 ;B;0,9672 ;C;1,0000 ;C;C
Prefeitura Municipal de Poço Verde - SE;2805505;SE;23580;0,0704 ;A;0,9416 ;B;3,1327 ;C;C
Prefeitura Municipal de Abaeté - MG;3100203;MG;23574;0,3958 ;A;0,9722 ;C;1,8734 ;C;C
Prefeitura Municipal de Pancas - ES;3204005;ES;23559;0,0416 ;A;0,9639 ;C;0,2761 ;A;C
Prefeitura Municipal de Quaraí - RS;4315305;RS;23532;0,0313 ;A;0,9659 ;C;-0,0002 ;C;C
Prefeitura Municipal de Bom Jesus dos Perdões - SP;3507100;SP;23530;0,0295 ;A;0,8863 ;A;1,5778 ;C;C
Prefeitura Municipal de Ribas do Rio Pardo - MS;5007109;MS;23526;0,0479 ;A;0,9565 ;C;0,2682 ;A;C
Prefeitura Municipal de Rafael Jambeiro - BA;2925956;BA;23525;0,7789 ;B;1,0053 ;C;;;
Prefeitura Municipal de Cordeirópolis - SP;3512407;SP;23517;0,0399 ;A;0,9607 ;C;;;
Prefeitura Municipal de Porto Franco - MA;2109007;MA;23511;0,1714 ;A;1,1522 ;C; -   ;;
Prefeitura Municipal de Sapezal - MT;5107875;MT;23496;;;0,9104 ;B;0,0511 ;A;
Prefeitura Municipal de São Lourenço do Oeste - SC;4216909;SC;23473;0,0333 ;A;0,9293 ;B;0,0308 ;A;B
Prefeitura Municipal de São Miguel - RN;2412500;RN;23444;0,1459 ;A;0,9726 ;C;1,6568 ;C;C
Prefeitura Municipal de Buriti Bravo - MA;2102309;MA;23437;;;0,9846 ;C;;;
Prefeitura Municipal de Carutapera - MA;2102903;MA;23404;0,2612 ;A;0,9556 ;C;0,0274 ;A;C
Prefeitura Municipal de Santo Antônio do Içá - AM;1303700;AM;23378;0,2369 ;A;0,9522 ;C; -   ;;
Prefeitura Municipal de Maracás - BA;2920502;BA;23373;0,1159 ;A;0,9714 ;C;2,5786 ;C;C
Prefeitura Municipal de Alcobaça - BA;2900801;BA;23331;0,1774 ;A;1,0149 ;C;0,9536 ;A;C
Prefeitura Municipal de Teofilândia - BA;2931509;BA;23319;0,3311 ;A;0,9535 ;C;0,5830 ;A;C
Prefeitura Municipal de Ortigueira - PR;4117305;PR;23308;0,0330 ;A;0,8487 ;A;0,0051 ;A;A
Prefeitura Municipal de Riachão das Neves - BA;2926202;BA;23290;0,2849 ;A;0,9718 ;C;0,4891 ;A;C
Prefeitura Municipal de Chapadão do Sul - MS;5002951;MS;23284;0,0117 ;A;0,8616 ;A;;;
Prefeitura Municipal de Rio Formoso - PE;2611903;PE;23282;1,0318 ;B;0,9393 ;B;84,3926 ;C;C
Prefeitura Municipal de Princesa Isabel - PB;2512309;PB;23247;0,7145 ;B;1,0289 ;C;0,0113 ;A;C
Prefeitura Municipal de Tambaú - SP;3553302;SP;23241;0,1928 ;A;0,8745 ;A;0,0856 ;A;A
Prefeitura Municipal de Monte Sião - MG;3143401;MG;23238;0,1239 ;A;0,9236 ;B;8,9318 ;C;C
Prefeitura Municipal de Sarandi - RS;4320107;RS;23222;0,0168 ;A;0,8512 ;A;0,1689 ;A;A
Prefeitura Municipal de Itaporã - MS;5004502;MS;23220;0,2988 ;A;0,8736 ;A;0,0028 ;A;A
Prefeitura Municipal de Taquarituba - SP;3553807;SP;23202;0,0600 ;A;0,8987 ;A; -   ;;
Prefeitura Municipal de Conselheiro Pena - MG;3118403;MG;23192;0,1082 ;A;0,9645 ;C;1,5544 ;C;C
Prefeitura Municipal de Assaré - CE;2301604;CE;23191;0,0336 ;A;0,9215 ;B;;;
Prefeitura Municipal de Itambé - BA;2915809;BA;23147;1,3245 ;B;1,0271 ;C;;;
Prefeitura Municipal de Tocantinópolis - TO;1721208;TO;23130;0,2202 ;A;0,9457 ;B;;;
Prefeitura Municipal de Quissamã - RJ;3304151;RJ;23125;0,2525 ;A;0,9417 ;B;;;
Prefeitura Municipal de Santa Isabel do Rio Negro - AM;1303601;AM;23092;0,0003 ;A;0,9231 ;B;0,3576 ;A;B
Prefeitura Municipal de João Lisboa - MA;2105500;MA;23042;;;0,9224 ;B;0,0281 ;A;
Prefeitura Municipal de Coreaú - CE;2304004;CE;23000;0,2406 ;A;0,9932 ;C;;;
Prefeitura Municipal de Ivinhema - MS;5004700;MS;22975;0,2618 ;A;0,8755 ;A;0,0603 ;A;A
Prefeitura Municipal de Matinha - MA;2106508;MA;22962;0,0370 ;A;0,9559 ;C; -   ;;
Prefeitura Municipal de Areia - PB;2501104;PB;22940;0,8205 ;B;0,9057 ;B;2,4840 ;C;C
Prefeitura Municipal de Mutuípe - BA;2922409;BA;22917;0,0424 ;A;0,9829 ;C;;;
Prefeitura Municipal de Iracemápolis - SP;3521408;SP;22914;0,5865 ;A;0,9842 ;C;4,6315 ;C;C
Prefeitura Municipal de Potim - SP;3540754;SP;22911;0,0904 ;A;0,8806 ;A;0,8380 ;A;A
Prefeitura Municipal de São José da Lapa - MG;3162955;MG;22910;0,1349 ;A;1,0234 ;C;144,5363 ;C;C
Prefeitura Municipal de Dom Pedro - MA;2103802;MA;22897;;;;;;;
Prefeitura Municipal de Altinho - PE;2600807;PE;22886;0,2432 ;A;0,9406 ;B;1,1947 ;C;C
Prefeitura Municipal de Tamandaré - PE;2614857;PE;22850;0,4559 ;A;0,9523 ;C;20,7425 ;C;C
Prefeitura Municipal de Conceição da Feira - BA;2908200;BA;22840;0,1942 ;A;0,8714 ;A;3,8545 ;C;C
Prefeitura Municipal de Chaves - PA;1502509;PA;22821;0,1270 ;A;0,9914 ;C;;;
Prefeitura Municipal de Peritoró - MA;2108454;MA;22818;0,0003 ;A;;;;;
Prefeitura Municipal de Teodoro Sampaio - SP;3554300;SP;22795;0,1611 ;A;0,9674 ;C;;;
Prefeitura Municipal de Oliveira dos Brejinhos - BA;2923209;BA;22789;0,2366 ;A;0,7068 ;A;6,0075 ;C;C
Prefeitura Municipal de Santa Terezinha de Itaipu - PR;4124053;PR;22783;0,0946 ;A;0,8411 ;A;0,1064 ;A;A
Prefeitura Municipal de Loanda - PR;4113502;PR;22754;0,0257 ;A;0,8908 ;A;0,0133 ;A;A
Prefeitura Municipal de Itaparica - BA;2916104;BA;22744;0,3413 ;A;0,9547 ;C;23,5920 ;C;C
Prefeitura Municipal de Itaocara - RJ;3302106;RJ;22736;0,0035 ;A;0,9959 ;C;-0,0605 ;C;C
Prefeitura Municipal de São Miguel do Araguaia - GO;5220207;GO;22706;0,3020 ;A;1,0408 ;C;;;
Prefeitura Municipal de Amaraji - PE;2600906;PE;22685;0,3121 ;A;1,0411 ;C;140,4314 ;C;C
Prefeitura Municipal de Quatro Barras - PR;4120804;PR;22651;0,1185 ;A;0,8467 ;A;0,0612 ;A;A
Prefeitura Municipal de Caravelas - BA;2906907;BA;22646;0,5669 ;A;0,9336 ;B;-0,1642 ;C;C
Prefeitura Municipal de Santo Antônio de Posse - SP;3548005;SP;22597;0,0867 ;A;0,9122 ;B;0,0435 ;A;B
Prefeitura Municipal de Orleans - SC;4211702;SC;22587;0,0519 ;A;0,9540 ;C;0,0004 ;A;C
Prefeitura Municipal de Flores - PE;2605608;PE;22577;0,1528 ;A;0,9659 ;C;0,3090 ;A;C
Prefeitura Municipal de Capinzal - SC;4203907;SC;22524;0,0161 ;A;0,9179 ;B;0,0784 ;A;B
Prefeitura Municipal de São João - PE;2613206;PE;22518;0,0210 ;A;1,0124 ;C; -   ;;
Prefeitura Municipal de Palmas de Monte Alto - BA;2923407;BA;22487;0,3801 ;A;0,9731 ;C;;;
Prefeitura Municipal de Boquira - BA;2904100;BA;22448;0,4385 ;A;0,9518 ;C;3,0863 ;C;C
Prefeitura Municipal de Wenceslau Guimarães - BA;2933505;BA;22445;0,4544 ;A;0,9486 ;B;10,8701 ;C;C
Prefeitura Municipal de Bataguassu - MS;5001904;MS;22389;0,0462 ;A;0,6689 ;A; -   ;;
Prefeitura Municipal de Inajá - PE;2607000;PE;22374;0,1829 ;A;1,0516 ;C;0,2579 ;A;C
Prefeitura Municipal de Barro - CE;2302008;CE;22361;0,3092 ;A;0,9836 ;C;;;
Prefeitura Municipal de Presidente Médici - RO;1100254;RO;22337;0,5427 ;A;0,9878 ;C;0,4773 ;A;C
Prefeitura Municipal de Herval d'Oeste - SC;4206702;SC;22324;0,0425 ;A;0,8450 ;A;0,5351 ;A;A
Prefeitura Municipal de Conceição de Macabu - RJ;3301405;RJ;22315;0,2023 ;A;0,8387 ;A;0,0476 ;A;A
Prefeitura Municipal de Monte Alegre - RN;2407807;RN;22311;0,3111 ;A;0,9516 ;C;0,0929 ;A;C
Prefeitura Municipal de Ivoti - RS;4310801;RS;22270;0,0108 ;A;0,8130 ;A;0,2167 ;A;A
Prefeitura Municipal de Santo Amaro da Imperatriz - SC;4215703;SC;22266;0,1109 ;A;0,8185 ;A;;;
Prefeitura Municipal de Guaratinga - BA;2911808;BA;22251;1,7683 ;C;1,0067 ;C;0,7533 ;A;C
Prefeitura Municipal de Barra da Estiva - BA;2902807;BA;22232;0,8953 ;B;0,9215 ;B;64,0386 ;C;C
Prefeitura Municipal de Ladário - MS;5005202;MS;22228;0,1344 ;A;0,8428 ;A;1,1797 ;C;C
Prefeitura Municipal de Caxambu - MG;3115508;MG;22219;0,0693 ;A;0,9065 ;B;;;
Prefeitura Municipal de São João de Pirabas - PA;1507474;PA;22207;0,0003 ;A;;;;;
Prefeitura Municipal de Paramirim - BA;2923605;BA;22184;1,1298 ;B;0,9850 ;C;2,0620 ;C;C
Prefeitura Municipal de Guabiruba - SC;4206306;SC;22174;0,0252 ;A;0,9167 ;B; -   ;;
Prefeitura Municipal de Itapecerica - MG;3133501;MG;22158;0,0301 ;A;1,0209 ;C;0,9958 ;A;C
Prefeitura Municipal de Palmital - SP;3535309;SP;22146;0,0786 ;A;1,0060 ;C;;;
Prefeitura Municipal de Carmo do Cajuru - MG;3114204;MG;22136;0,0453 ;A;0,9610 ;C;1,4159 ;C;C
Prefeitura Municipal de Morrinhos - CE;2308906;CE;22067;0,0022 ;A;0,9869 ;C;0,2035 ;A;C
Prefeitura Municipal de Caridade - CE;2303006;CE;22065;0,9717 ;B;0,8832 ;A;0,3436 ;A;B
Prefeitura Municipal de Ceres - GO;5205406;GO;22034;0,0579 ;A;0,9054 ;B;8,8695 ;C;C
Prefeitura Municipal de Encantado - RS;4306809;RS;22009;0,0567 ;A;0,8515 ;A;0,0958 ;A;A
Prefeitura Municipal de Camanducaia - MG;3110509;MG;22007;0,0194 ;A;0,9333 ;B;0,1778 ;A;B
Prefeitura Municipal de Cunha - SP;3513603;SP;22007;0,0492 ;A;0,9334 ;B;0,6355 ;A;B
Prefeitura Municipal de Carambeí - PR;4104659;PR;21939;0,1487 ;A;0,9464 ;B;0,3980 ;A;B
Prefeitura Municipal de São Felipe - BA;2929107;BA;21935;0,3509 ;A;1,0183 ;C;0,6129 ;A;C
Prefeitura Municipal de Monte Santo de Minas - MG;3143203;MG;21932;0,0634 ;A;0,9526 ;C;;;
Prefeitura Municipal de Mandaguaçu - PR;4114104;PR;21920;0,1300 ;A;0,9744 ;C;0,4532 ;A;C
Prefeitura Municipal de Acreúna - GO;5200134;GO;21905;0,0479 ;A;0,9118 ;B;51,2306 ;C;C
Prefeitura Municipal de Altônia - PR;4100509;PR;21867;0,1337 ;A;0,8994 ;A;0,6397 ;A;A
Prefeitura Municipal de Miguelópolis - SP;3529708;SP;21852;0,8214 ;B;0,9155 ;B;0,0582 ;A;B
Prefeitura Municipal de Feira Nova - PE;2605400;PE;21836;0,5097 ;A;0,9494 ;B;0,0042 ;A;B
Prefeitura Municipal de Tapejara - RS;4320909;RS;21809;0,0898 ;A;0,8507 ;A;0,1467 ;A;A
Prefeitura Municipal de Mari - PB;2509107;PB;21806;0,6043 ;B;0,9859 ;C; -   ;;
Prefeitura Municipal de Monte Azul - MG;3142908;MG;21783;0,5801 ;A;1,0135 ;C;7,9607 ;C;C
Prefeitura Municipal de Uruçuca - BA;2932705;BA;21778;0,6009 ;B;0,9903 ;C;;;
Prefeitura Municipal de Ubiratã - PR;4128005;PR;21762;0,0706 ;A;0,9250 ;B;0,0035 ;A;B
Prefeitura Municipal de Coronel Vivida - PR;4106506;PR;21755;0,1084 ;A;0,9690 ;C;0,4498 ;A;C
Prefeitura Municipal de Trizidela do Vale - MA;2112233;MA;21749;;;0,9197 ;B;;;
Prefeitura Municipal de Quixeré - CE;2311504;CE;21728;0,1264 ;A;0,9601 ;C;0,4549 ;A;C
Prefeitura Municipal de Cujubim - RO;1100940;RO;21720;0,0858 ;A;0,8887 ;A;0,1877 ;A;A
Prefeitura Municipal de Olho d'Água das Flores - AL;2705705;AL;21706;0,1142 ;A;0,9264 ;B;;;
Prefeitura Municipal de Crisópolis - BA;2909604;BA;21700;0,3203 ;A;0,9780 ;C; -   ;;
Prefeitura Municipal de Itajuípe - BA;2915502;BA;21697;1,6532 ;C;0,9527 ;C;0,5690 ;A;C
Prefeitura Municipal de Cassilândia - MS;5002902;MS;21685;0,0209 ;A;0,8745 ;A;;;
Prefeitura Municipal de São Francisco de Paula - RS;4318200;RS;21679;0,0022 ;A;0,8870 ;A;0,0353 ;A;A
Prefeitura Municipal de Buritirama - BA;2904753;BA;21671;0,1126 ;A;0,9936 ;C;0,7245 ;A;C
Prefeitura Municipal de Nova Brasilândia D'Oeste - RO;1100148;RO;21670;0,0406 ;A;0,7903 ;A;;;
Prefeitura Municipal de Carira - SE;2801405;SE;21665;;;;;;;
Prefeitura Municipal de Urucurituba - AM;1304401;AM;21650;0,1494 ;A;0,9574 ;C;;;
Prefeitura Municipal de Cantanhede - MA;2102705;MA;21617;0,0001 ;A;1,2064 ;C;;;
Prefeitura Municipal de Anicuns - GO;5201306;GO;21614;0,2219 ;A;0,8679 ;A;;;
Prefeitura Municipal de Paraguaçu - MG;3147204;MG;21583;0,0245 ;A;1,0099 ;C;2,8360 ;C;C
Prefeitura Municipal de Parelhas - RN;2408904;RN;21577;0,1063 ;A;0,9794 ;C;;;
Prefeitura Municipal de Garopaba - SC;4205704;SC;21573;0,0239 ;A;0,8481 ;A;0,0621 ;A;A
Prefeitura Municipal de Itaobim - MG;3133303;MG;21562;0,0320 ;A;0,9202 ;B;0,8663 ;A;B
Prefeitura Municipal de Pompéia - SP;3540002;SP;21526;0,0780 ;A;0,9768 ;C;0,3588 ;A;C
Prefeitura Municipal de Itaiópolis - SC;4208104;SC;21506;0,1254 ;A;0,8675 ;A;0,5825 ;A;A
Prefeitura Municipal de Dianópolis - TO;1707009;TO;21457;0,0922 ;A;0,8890 ;A;;;
Prefeitura Municipal de Aquidabã - SE;2800209;SE;21452;0,0752 ;A;0,9524 ;C;16,6062 ;C;C
Prefeitura Municipal de Cajueiro - AL;2701308;AL;21443;0,1446 ;A;1,0367 ;C;;;
Prefeitura Municipal de Governador Mangabeira - BA;2911600;BA;21435;0,4571 ;A;0,9525 ;C;0,8597 ;A;C
Prefeitura Municipal de Serro - MG;3167103;MG;21431;0,0494 ;A;0,9978 ;C;-1,5811 ;C;C
Prefeitura Municipal de Campestre - MG;3111002;MG;21417;0,1391 ;A;0,9490 ;B;4,5671 ;C;C
Prefeitura Municipal de Uruburetama - CE;2313807;CE;21411;0,0849 ;A;0,9372 ;B;;;
Prefeitura Municipal de Medina - MG;3141405;MG;21409;0,4972 ;A;1,0139 ;C;3,6595 ;C;C
Prefeitura Municipal de Chã Grande - PE;2604502;PE;21402;0,2873 ;A;0,9911 ;C;5,2365 ;C;C
Prefeitura Municipal de Carmo do Rio Claro - MG;3114402;MG;21400;0,0940 ;A;0,8992 ;A; -   ;;
Prefeitura Municipal de Vargem Alta - ES;3205036;ES;21396;0,0241 ;A;0,8995 ;A;;;
Prefeitura Municipal de Baixa Grande - BA;2902609;BA;21393;0,0640 ;A;0,9585 ;C;110,9494 ;C;C
Prefeitura Municipal de Senador Guiomard - AC;1200450;AC;21369;0,6923 ;B;0,9274 ;B;-0,0991 ;C;C
Prefeitura Municipal de Araripe - CE;2301307;CE;21345;0,2460 ;A;0,8333 ;A;;;
Prefeitura Municipal de Perdões - MG;3149903;MG;21344;0,1040 ;A;;;-5,5932 ;C;
Prefeitura Municipal de Orós - CE;2309508;CE;21342;0,7956 ;B;0,9382 ;B;0,9547 ;A;B
Prefeitura Municipal de Una - BA;2932507;BA;21331;1,1584 ;B;0,9896 ;C;;;
Prefeitura Municipal de Lucélia - SP;3527405;SP;21330;0,0362 ;A;0,9418 ;B;0,1080 ;A;B
Prefeitura Municipal de Itapaci - GO;5210901;GO;21323;0,4943 ;A;0,9581 ;C;0,9669 ;A;C
Prefeitura Municipal de Paranatinga - MT;5106307;MT;21317;0,0053 ;A;0,8962 ;A;0,3993 ;A;A
Prefeitura Municipal de Maraú - BA;2920700;BA;21313;0,3481 ;A;0,9786 ;C;0,6184 ;A;C
Prefeitura Municipal de Santa Bárbara - BA;2927507;BA;21310;0,6430 ;B;0,9525 ;C;0,0390 ;A;C
Prefeitura Municipal de Lagoa de Itaenga - PE;2608503;PE;21308;0,9346 ;B;1,0488 ;C; -   ;;
Prefeitura Municipal de Centro Novo do Maranhão - MA;2103174;MA;21300;;;;; -   ;;
Prefeitura Municipal de Tanhaçu - BA;2931004;BA;21299;;;0,8621 ;A;;;
Prefeitura Municipal de Parnamirim - PE;2610400;PE;21290;0,3989 ;A;1,0166 ;C;1,6455 ;C;C
Prefeitura Municipal de São Marcos - RS;4319000;RS;21286;0,0171 ;A;0,7694 ;A;0,1785 ;A;A
Prefeitura Municipal de Taperoá - BA;2931202;BA;21282;0,9185 ;B;1,0511 ;C;4,7875 ;C;C
Prefeitura Municipal de Silva Jardim - RJ;3305604;RJ;21279;0,0190 ;A;0,9149 ;B; -   ;;
Prefeitura Municipal de Jandaia do Sul - PR;4112108;PR;21273;0,0192 ;A;0,8768 ;A;0,0667 ;A;A
Prefeitura Municipal de Bonito - MS;5002209;MS;21267;0,1124 ;A;0,9193 ;B;0,7370 ;A;B
Prefeitura Municipal de Balneário Piçarras - SC;4212809;SC;21253;0,0952 ;A;0,9027 ;B;0,0946 ;A;B
Prefeitura Municipal de Butiá - RS;4302709;RS;21220;0,1490 ;A;1,0076 ;C;1,8920 ;C;C
Prefeitura Municipal de São Joaquim do Monte - PE;2613305;PE;21215;0,3045 ;A;0,9835 ;C;14,8230 ;C;C
Prefeitura Municipal de Itororó - BA;2917102;BA;21210;1,3217 ;B;0,7906 ;A;;;
Prefeitura Municipal de Cruzeiro do Oeste - PR;4106605;PR;21197;0,1005 ;A;;;39,6080 ;C;
Prefeitura Municipal de Bananeiras - PB;2501500;PB;21195;0,5277 ;A;1,0732 ;C;874,2261 ;C;C
Prefeitura Municipal de Pindobaçu - BA;2924603;BA;21191;0,1700 ;A;0,9332 ;B;39,1594 ;C;C
Prefeitura Municipal de Diamantino - MT;5103502;MT;21180;0,3915 ;A;0,9501 ;C;2,5495 ;C;C
Prefeitura Municipal de Urussanga - SC;4219002;SC;21177;0,0401 ;A;0,8908 ;A;0,2547 ;A;A
Prefeitura Municipal de Cordeiro - RJ;3301504;RJ;21158;0,1671 ;A;0,9690 ;C;0,3767 ;A;C
Prefeitura Municipal de Uruçuí - PI;2211209;PI;21105;0,3593 ;A;0,8508 ;A;;;
Prefeitura Municipal de Bastos - SP;3505807;SP;21070;0,0062 ;A;0,9312 ;B;0,7369 ;A;B
Prefeitura Municipal de Santo Anastácio - SP;3547700;SP;21037;0,0201 ;A;0,9667 ;C; -   ;;
